realSum,logSum,room_type_apt,room_type_private,room_type_shared,person_capacity,is_superhost,multi,biz,cleanliness_rating,satisfaction_rating,bedrooms,dist,metro_dist,attr_index,rest_index,city,is_weekday
194.03369812293488,5.268031845643553,0,1,0,2.0,0,1,0,10.0,93.0,1,5.022963798088291,2.539380002594493,78.69037927190317,98.25389587009934,Amsterdam,1
344.2457760176224,5.8413558674321715,0,1,0,4.0,0,0,0,8.0,85.0,1,0.4883892888289836,0.2394039228349863,631.1763782503964,837.2807567422693,Amsterdam,1
264.1014224451058,5.57633320529807,0,1,0,2.0,0,0,1,9.0,87.0,1,5.748311915159562,3.651621288793656,75.27587691428164,95.3869549262145,Amsterdam,1
433.5293979799874,6.071959609330665,0,1,0,4.0,0,0,1,9.0,90.0,2,0.384862012821602,0.4398760761319157,493.27253443070873,875.0330975776227,Amsterdam,1
485.5529257375859,6.185288294637668,0,1,0,2.0,1,0,0,10.0,98.0,1,0.5447381834292384,0.3186926468416831,552.8303243593364,815.3057399687838,Amsterdam,1
552.808567478265,6.3150117706659685,0,1,0,3.0,0,0,0,8.0,100.0,2,2.13142008057136,1.904668241410844,174.7889567505081,225.20166237399388,Amsterdam,1
215.12431748412348,5.371216081878784,0,1,0,2.0,0,0,0,10.0,94.0,1,1.8810915643710744,0.7297467390303181,200.1676516320246,242.76552365826512,Amsterdam,1
1001.8044196564572,6.909558072629155,1,0,0,4.0,0,0,0,9.0,96.0,2,3.719141398657261,1.1961123528716675,106.22645621714616,133.87620194208236,Amsterdam,1
276.52145384669467,5.6222884087180045,0,1,0,2.0,0,1,0,10.0,88.0,1,3.1423614256297014,0.9244044386046626,206.25286154350977,238.29125778441968,Amsterdam,1
909.4743748974762,6.8128668226272,1,0,0,2.0,0,0,0,10.0,96.0,1,1.0099220248634968,0.9171150679278918,409.8581244623681,555.1142756474727,Amsterdam,1
319.6400534295691,5.767195529661701,0,1,0,2.0,1,1,0,10.0,97.0,1,2.1827071044515876,1.590381362751412,191.50133917980733,229.29740063380305,Amsterdam,1
675.6028402034074,6.515605388896696,1,0,0,4.0,0,0,0,8.0,87.0,1,2.9330458432919566,0.6280730466725806,214.9233419303541,269.6249040166742,Amsterdam,1
552.808567478265,6.3150117706659685,1,0,0,2.0,1,0,0,10.0,100.0,1,1.3054939315898395,1.3421624076909515,325.2559516150373,390.9120520454746,Amsterdam,1
209.03147189089125,5.342484823838303,0,1,0,2.0,0,1,0,8.0,96.0,1,7.304535266554101,3.720813885628837,59.7761806926462,75.70105653114125,Amsterdam,1
368.8514986056758,5.910394120235643,0,1,0,2.0,1,0,0,10.0,98.0,1,1.0311006089592691,0.5578845347320643,359.92193215168265,439.9505620266279,Amsterdam,1
368.8514986056758,5.910394120235643,0,1,0,2.0,0,0,0,10.0,90.0,1,1.327797157439684,0.119528106734041,539.0128842344288,573.8965719683101,Amsterdam,1
337.91859020926586,5.822805009103188,0,1,0,2.0,1,1,0,10.0,97.0,1,1.3663342379671055,0.5349334596105503,576.0828256376159,845.9576160170283,Amsterdam,1
313.54720783633684,5.747949931946468,0,1,0,2.0,1,1,0,10.0,96.0,1,1.2897592303027183,0.5521164877855617,528.9405557143664,1023.9047849216062,Amsterdam,1
447.5898108874465,6.103877212298969,1,0,0,2.0,0,1,0,9.0,93.0,1,1.0576193314364548,1.0653391259990903,422.8529061953185,476.69699183882113,Amsterdam,1
243.24514329904156,5.494069754984128,0,1,0,2.0,1,1,0,10.0,96.0,1,2.8706328438025386,1.2788940751193616,169.6957545063243,210.26769212497268,Amsterdam,1
933.8457572704052,6.839311282482609,1,0,0,4.0,0,0,0,10.0,96.0,2,1.0140664267918649,0.3771036873075551,477.7940701845302,664.0532506071172,Amsterdam,1
251.91573125864133,5.529094631820057,0,1,0,2.0,0,1,0,10.0,97.0,1,1.2470836669767065,1.098774337645081,267.32598960478396,366.4646497953599,Amsterdam,1
377.2877463501512,5.9330081492368025,0,1,0,2.0,0,0,0,10.0,98.0,1,1.1674923014349312,0.9837430031835354,278.80059538006617,383.57789257260714,Amsterdam,1
245.58854545028476,5.503657556139282,0,1,0,2.0,1,1,0,10.0,96.0,1,4.230634296706812,2.687144039939682,92.21360220413766,116.21714372500834,Amsterdam,1
217.70205985049097,5.383127430072133,0,1,0,2.0,0,1,0,8.0,93.0,1,4.1808147371679905,2.80843797194201,93.27076366905054,117.75965599346443,Amsterdam,1
295.0343308415157,5.687091725302641,0,1,0,2.0,0,1,0,10.0,95.0,1,3.366018582385255,0.2258822993056595,170.02869744175086,217.15523142671705,Amsterdam,1
295.0343308415157,5.687091725302641,0,1,0,2.0,0,0,0,10.0,94.0,1,4.1272800185441785,0.8393253845123759,129.22969947963463,164.40500901741308,Amsterdam,1
1032.9716682679916,6.9401950420910445,1,0,0,4.0,0,1,0,9.0,96.0,2,2.161607613910167,1.4241694265758251,183.36525860175672,222.38968933289252,Amsterdam,1
270.4286082534624,5.600008138326339,0,1,0,4.0,1,0,0,10.0,98.0,1,4.88547764075742,1.0948368113158276,91.66621199798304,114.67434330402575,Amsterdam,1
